,date,team,formation,team_xGoals,team_xAssists,rolling_team_xGoals,rolling_team_xAssists
0,2020-09-26,fiorentina,"['dragowski', 'milenkovic', 'pezzella', 'caceres', 'chiesa', 'bonaventura', 'amrabat', 'castrovilli', 'biraghi', 'kouamé', 'ribery']",-1.1300000000000001,-0.56,,
1,2020-09-26,atalanta,"['ello', 'toloi', 'caldara', 'sutalo', 'hateboer', 'de roon', 'freuler', 'gosens', 'malinovskyi', 'gómez', 'zapata']",,,,
2,2020-09-26,cagliari,,0.03999999999999998,0.14999999999999994,,
3,2020-09-26,inter,"['handanovic', 'd’ambrosio', 'bastoni', 'kolarov', 'hakimi', 'barella', 'brozovic', 'perisic', 'eriksen', 'lautaro', 'lukaku']",,,,
4,2020-09-26,lazio,,,,,
5,2020-09-26,sampdoria,"['audero', 'bereszynski', 'colley', 'tonelli', 'augello', 'candreva', 'thorsby', 'ekdal', 'jankto', 'quagliarella', 'bonazzoli']",-0.54,-0.26,,
6,2020-09-26,torino,"['irigu', 'zzo', 'nkoulou', 'bremer', 'murru', 'lukic', 'rincon', 'linetty', 'verdi', 'zaza', 'belotti']",-0.21000000000000002,-0.45999999999999996,,
7,2020-09-26,benevento,"['montipò', 'maggio', 'glik', 'caldirola', 'foulon', 'ionita', 'schiattarella', 'dabo', 'insigne', 'caprari', 'lapadula']",,,,
8,2020-09-27,milan,"['donnarumma', 'calabria', 'kjaer', 'gabbia', 'theo hernandez', 'kessié', 'tonali', 'brahim', 'calhanoglu', 'saelemaekers: rebic']",-0.81,-0.79,,
9,2020-09-27,roma,"['mirante', 'mancini', 'ibanez', 'kumbulla', 'santon', 'veretout', 'pellegrini', 'spinazzola', 'mkhitaryan', 'pedro', 'dzeko']",-1.76,-0.8,,
10,2020-09-27,genoa,,1.0699999999999998,2.31,,
11,2020-09-27,juventus,"['szczesny', 'danilo', 'bonucci', 'chiellini', 'cuadrado', 'mckennie', 'rabiot', 'frabotta', 'ramsey', 'kulusevski', 'cristiano ronaldo']",0.77,0.8,,
12,2020-09-27,napoli,,0.6900000000000002,-0.35,,
13,2020-09-27,udinese,,,,,
14,2020-09-27,verona,,-0.79,-0.38,,
15,2020-09-27,sassuolo,,-1.52,-0.5399999999999999,,
16,2020-09-27,crotone,"['cordaz', 'magallan', 'marrone', 'golemic', 'pedro pereira', 'cigarini', 'vulic', 'messias', 'molina', 'simy', 'dragus']",-0.59,-0.03999999999999995,,
17,2020-09-27,spezia,,,,,
18,2020-09-28,bologna,,-0.63,-0.56,,
19,2020-09-28,parma,,-0.1,-0.13,,
20,2020-09-30,atalanta,"['iello', 'toloi', 'palomino', 'djimsiti', 'hateboer', 'de roon', 'freuler', 'gosens', 'gomez', 'zapata', 'muriel']",0.7,1.7599999999999998,,
