,match_id,date,time,matchday,team,opponent,place,result,s_goals,c_goals,team_streak,opp_streak,team_last_five,opp_last_five,rank_team,rank_opponent,team_xGoals,team_xAssists,opp_xGoals,opp_xAssists,team_shots_total,opp_shots_total,team_ball_possession,opp_ball_possession,rolling_s_goals,rolling_c_goals,rolling_team_xGoals,rolling_team_xAssists,rolling_opp_xGoals,rolling_opp_xAssists,rolling_team_shots_total,rolling_opp_shots_total,rolling_team_ball_possession,rolling_opp_ball_possession
0,59169,2020-09-19,18,1,fiorentina,torino,H,W,1,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,15.0,6.0,0.49,0.51,,,,,,,,,,
1,59169,2020-09-19,18,1,torino,fiorentina,A,L,0,1,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,6,15,0.51,0.49,,,,,,,,,,
2,59170,2020-09-19,20,1,verona,roma,H,W,3,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,8,21,0.39,0.61,,,,,,,,,,
3,59170,2020-09-19,20,1,roma,verona,A,L,0,3,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,21,8,0.61,0.39,,,,,,,,,,
4,59171,2020-09-20,12,1,parma,napoli,H,L,0,2,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,6,17,0.39,0.61,,,,,,,,,,
5,59171,2020-09-20,12,1,napoli,parma,A,W,2,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,17,6,0.61,0.39,,,,,,,,,,
6,59172,2020-09-20,15,1,genoa,crotone,H,W,4,1,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,14,13,0.48,0.52,,,,,,,,,,
7,59172,2020-09-20,15,1,crotone,genoa,A,L,1,4,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,13,14,0.52,0.48,,,,,,,,,,
8,59173,2020-09-20,18,1,sassuolo,cagliari,H,D,1,1,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,33,8,0.67,0.33,,,,,,,,,,
9,59173,2020-09-20,18,1,cagliari,sassuolo,A,D,1,1,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,8,33,0.33,0.67,,,,,,,,,,
10,59174,2020-09-20,20,1,juventus,sampdoria,H,W,3,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,20,15,0.66,0.34,,,,,,,,,,
11,59174,2020-09-20,20,1,sampdoria,juventus,A,L,0,3,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,15,20,0.34,0.66,,,,,,,,,,
12,59175,2020-09-21,20,1,milan,bologna,H,W,2,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,17,13,0.58,0.42,,,,,,,,,,
13,59175,2020-09-21,20,1,bologna,milan,A,L,0,2,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,,,,,13,17,0.42,0.58,,,,,,,,,,
14,59179,2020-09-26,15,2,torino,atalanta,H,L,2,4,0,0,"[0, 0, 0, 0, -1]","[0, 0, 0, 0, 0]",16.0,13.0,-0.57,-0.43,,,7,18,0.44,0.56,0.0,1.0,,,,,6.0,15.0,0.51,0.49
15,59179,2020-09-26,15,2,atalanta,torino,A,W,4,2,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, -1]",13.0,16.0,,,-0.57,-0.43,18,7,0.56,0.44,,,,,,,,,,
16,59180,2020-09-26,18,2,cagliari,lazio,H,L,0,2,0.5,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",7.0,10.0,0.03999999999999998,0.14999999999999997,,,9,16,0.44,0.56,1.0,1.0,,,,,8.0,33.0,0.33,0.67
17,59180,2020-09-26,18,2,lazio,cagliari,A,W,2,0,0,0.5,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",10.0,7.0,,,0.03999999999999998,0.14999999999999997,16,9,0.56,0.44,,,,,,,,,,
18,59181,2020-09-26,18,2,sampdoria,benevento,H,L,2,3,0,0,"[0, 0, 0, 0, -1]","[0, 0, 0, 0, 0]",20.0,14.0,-0.43000000000000005,-0.32,,,9,14,0.4,0.6,0.0,3.0,,,,,15.0,20.0,0.34,0.66
19,59181,2020-09-26,18,2,benevento,sampdoria,A,W,3,2,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, -1]",14.0,20.0,,,-0.43000000000000005,-0.32,14,9,0.6,0.4,,,,,,,,,,
20,59182,2020-09-26,20,2,inter,fiorentina,H,W,4,3,0,1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",12.0,5.0,,,-1.2,-1.1400000000000001,21,10,0.66,0.34,,,,,,,,,,
21,59182,2020-09-26,20,2,fiorentina,inter,A,L,3,4,1,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0]",5.0,12.0,-1.2,-1.1400000000000001,,,10,21,0.34,0.66,1.0,0.0,,,,,15.0,6.0,0.49,0.51
22,59183,2020-09-27,12,2,spezia,sassuolo,H,L,1,4,0,0.5,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",15.0,6.0,,,-1.54,-0.67,12,17,0.34,0.66,,,,,,,,,,
23,59183,2020-09-27,12,2,sassuolo,spezia,A,W,4,1,0.5,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",6.0,15.0,-1.54,-0.67,,,17,12,0.66,0.34,1.0,1.0,,,,,33.0,8.0,0.67,0.33
24,59184,2020-09-27,15,2,verona,udinese,H,W,1,0,1,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0]",8.0,11.0,-0.7999999999999999,-0.37999999999999995,,,14,22,0.46,0.54,3.0,0.0,,,,,8.0,21.0,0.39,0.61
25,59184,2020-09-27,15,2,udinese,verona,A,L,0,1,0,1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",11.0,8.0,,,-0.7999999999999999,-0.37999999999999995,22,14,0.54,0.46,,,,,,,,,,
26,59185,2020-09-27,18,2,crotone,milan,H,L,0,2,0,1,"[0, 0, 0, 0, -1]","[0, 0, 0, 0, 1]",19.0,4.0,-0.7000000000000001,-0.13999999999999996,-0.75,0.050000000000000044,5,16,0.47,0.53,1.0,4.0,,,,,13.0,14.0,0.52,0.48
27,59185,2020-09-27,18,2,milan,crotone,A,W,2,0,1,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, -1]",4.0,19.0,-0.75,0.050000000000000044,-0.7000000000000001,-0.13999999999999996,16,5,0.53,0.47,2.0,0.0,,,,,17.0,13.0,0.58,0.42
28,59186,2020-09-27,18,2,napoli,genoa,H,W,6,0,1,1,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",3.0,1.0,0.61,-0.5,1.42,0.95,18,6,0.57,0.43,2.0,0.0,,,,,17.0,6.0,0.61,0.39
29,59186,2020-09-27,18,2,genoa,napoli,A,L,0,6,1,1,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",1.0,3.0,1.42,0.95,0.61,-0.5,6,18,0.43,0.57,4.0,1.0,,,,,14.0,13.0,0.48,0.52
30,59187,2020-09-27,20,2,roma,juventus,H,D,2,2,0,1,"[0, 0, 0, 0, -1]","[0, 0, 0, 0, 1]",9.0,2.0,-1.73,-1.1300000000000001,0.8,0.8,11,8,0.4,0.6,0.0,3.0,,,,,21.0,8.0,0.61,0.39
31,59187,2020-09-27,20,2,juventus,roma,A,D,2,2,1,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, -1]",2.0,9.0,0.8,0.8,-1.73,-1.1300000000000001,8,11,0.6,0.4,3.0,0.0,,,,,20.0,15.0,0.66,0.34
32,59188,2020-09-28,20,2,bologna,parma,H,W,4,1,0,0,"[0, 0, 0, 0, -1]","[0, 0, 0, 0, -1]",17.0,18.0,-0.7000000000000001,-0.48,-0.09,-0.05,12,9,0.58,0.42,0.0,2.0,,,,,13.0,17.0,0.42,0.58
33,59188,2020-09-28,20,2,parma,bologna,A,L,1,4,0,0,"[0, 0, 0, 0, -1]","[0, 0, 0, 0, -1]",18.0,17.0,-0.09,-0.05,-0.7000000000000001,-0.48,9,12,0.42,0.58,0.0,2.0,,,,,6.0,17.0,0.39,0.61
34,59176,2020-09-30,18,1,benevento,inter,H,L,2,5,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",10.0,9.0,0.7000000000000001,0.08999999999999997,0.04999999999999999,0.9799999999999999,11,18,0.33,0.67,3.0,2.0,,,-0.43000000000000005,-0.32,14.0,9.0,0.6,0.4
35,59176,2020-09-30,18,1,inter,benevento,A,W,5,2,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",9.0,10.0,0.04999999999999999,0.9799999999999999,0.7000000000000001,0.08999999999999997,18,11,0.67,0.33,4.0,3.0,,,-1.2,-1.1400000000000001,21.0,10.0,0.66,0.34
36,59177,2020-09-30,18,1,udinese,spezia,H,L,0,2,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",15.0,17.0,-2.1499999999999995,-0.98,-0.27,0.4,13,4,0.48,0.52,0.0,1.0,,,-0.7999999999999999,-0.37999999999999995,22.0,14.0,0.54,0.46
37,59177,2020-09-30,18,1,spezia,udinese,A,W,2,0,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",17.0,15.0,-0.27,0.4,-2.1499999999999995,-0.98,4,13,0.52,0.48,1.0,4.0,,,-1.54,-0.67,12.0,17.0,0.34,0.66
38,59178,2020-09-30,20,1,lazio,atalanta,H,L,1,4,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",7.0,6.0,0.6399999999999999,-0.54,-0.18,0.7599999999999999,14,10,0.6,0.4,2.0,0.0,,,0.03999999999999998,0.14999999999999997,16.0,9.0,0.56,0.44
39,59178,2020-09-30,20,1,atalanta,lazio,A,W,4,1,0,0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",6.0,7.0,-0.18,0.7599999999999999,0.6399999999999999,-0.54,10,14,0.4,0.6,4.0,2.0,,,-0.57,-0.43,18.0,7.0,0.56,0.44
40,59189,2020-10-02,20,3,fiorentina,sampdoria,H,L,1,2,0,0,"[0, 0, 0, 1, -1]","[0, 0, 0, -1, -1]",11.0,18.0,-0.02999999999999997,-0.84,-0.03000000000000007,0.16000000000000006,22,18,0.64,0.36,2.0,2.0,-1.2,-1.1400000000000001,,,12.5,13.5,0.41500000000000004,0.585
41,59189,2020-10-02,20,3,sampdoria,fiorentina,A,W,2,1,0,0,"[0, 0, 0, -1, -1]","[0, 0, 0, 1, -1]",18.0,11.0,-0.03000000000000007,0.16000000000000006,-0.02999999999999997,-0.84,18,22,0.36,0.64,1.0,3.0,-0.43000000000000005,-0.32,,,12.0,17.0,0.37,0.63
42,59190,2020-10-03,15,3,sassuolo,crotone,H,W,4,1,1.5,0,"[0, 0, 0, 0, 1]","[0, 0, 0, -1, -1]",6.0,19.0,-0.030000000000000027,1.7000000000000002,-0.74,-0.20999999999999996,7,15,0.54,0.46,2.5,1.0,-1.54,-0.67,,,25.0,10.0,0.665,0.335
43,59190,2020-10-03,15,3,crotone,sassuolo,A,L,1,4,0,1.5,"[0, 0, 0, -1, -1]","[0, 0, 0, 0, 1]",19.0,6.0,-0.74,-0.20999999999999996,-0.030000000000000027,1.7000000000000002,15,7,0.46,0.54,0.5,3.0,-0.7000000000000001,-0.13999999999999996,-0.75,0.050000000000000044,9.0,15.0,0.495,0.505
44,59191,2020-10-03,20,3,udinese,roma,H,L,0,1,0,0.5,"[0, 0, 0, -1, -1]","[0, 0, 0, -1, 0]",18.0,15.0,-3.19,-1.22,-2.5500000000000003,-2.12,10,13,0.44,0.56,0.0,1.5,-2.1499999999999995,-0.98,-0.5349999999999999,0.010000000000000037,17.5,9.0,0.51,0.49
45,59191,2020-10-03,20,3,roma,udinese,A,W,1,0,0.5,0,"[0, 0, 0, -1, 0]","[0, 0, 0, -1, -1]",13.0,15.0,-2.5500000000000003,-2.12,-3.19,-1.22,13,10,0.56,0.44,1.0,2.5,-1.73,-1.1300000000000001,0.8,0.8,16.0,8.0,0.505,0.495
46,59192,2020-10-04,12,3,atalanta,cagliari,H,W,5,2,2,0,"[0, 0, 0, 1, 1]","[0, 0, 0, 0, -1]",2.0,16.0,3.7300000000000004,3.12,-0.7200000000000001,0.09999999999999992,21,12,0.58,0.42,4.0,1.5,-0.18,0.7599999999999999,0.034999999999999976,-0.485,14.0,10.5,0.48000000000000004,0.52
47,59192,2020-10-04,12,3,cagliari,atalanta,A,L,2,5,0,2,"[0, 0, 0, 0, -1]","[0, 0, 0, 1, 1]",16.0,2.0,-0.7200000000000001,0.09999999999999992,3.7300000000000004,3.12,12,21,0.42,0.58,0.5,1.5,0.03999999999999998,0.14999999999999997,,,8.5,24.5,0.385,0.615
48,59193,2020-10-04,15,3,benevento,bologna,H,W,1,0,0,1,"[0, 0, 0, 1, -1]","[0, 0, 0, -1, 1]",12.0,8.0,3.4399999999999995,0.09000000000000002,2.23,0.5499999999999999,7,17,0.4,0.6,2.5,3.5,0.7000000000000001,0.08999999999999997,-0.19000000000000003,0.32999999999999996,12.5,13.5,0.46499999999999997,0.535
49,59193,2020-10-04,15,3,bologna,benevento,A,L,0,1,1,0,"[0, 0, 0, -1, 1]","[0, 0, 0, 1, -1]",8.0,12.0,2.23,0.5499999999999999,3.4399999999999995,0.09000000000000002,17,7,0.6,0.4,2.0,1.5,-0.7000000000000001,-0.48,-0.09,-0.05,12.5,13.0,0.5,0.5
50,59194,2020-10-04,15,3,lazio,inter,H,D,1,1,0,2,"[0, 0, 0, 1, -1]","[0, 0, 0, 1, 1]",10.0,3.0,0.15000000000000002,-0.9800000000000001,2.42,0.89,12,12,0.4,0.6,1.5,2.0,0.6399999999999999,-0.54,-0.07,0.45499999999999996,15.0,9.5,0.5800000000000001,0.42000000000000004
51,59194,2020-10-04,15,3,inter,lazio,A,D,1,1,2,0,"[0, 0, 0, 1, 1]","[0, 0, 0, 1, -1]",3.0,10.0,2.42,0.89,0.15000000000000002,-0.9800000000000001,12,12,0.6,0.4,4.5,2.5,0.04999999999999999,0.9799999999999999,-0.24999999999999994,-0.5250000000000001,19.5,10.5,0.665,0.335
52,59195,2020-10-04,15,3,parma,verona,H,W,1,0,0,2,"[0, 0, 0, -1, -1]","[0, 0, 0, 1, 1]",20.0,7.0,-0.28999999999999987,-0.0500000000000001,-0.21999999999999997,-0.8800000000000001,11,8,0.39,0.61,0.5,3.0,-0.09,-0.05,-0.7000000000000001,-0.48,7.5,14.5,0.405,0.595
53,59195,2020-10-04,15,3,verona,parma,A,L,0,1,2,0,"[0, 0, 0, 1, 1]","[0, 0, 0, -1, -1]",7.0,20.0,-0.21999999999999997,-0.8800000000000001,-0.28999999999999987,-0.0500000000000001,8,11,0.61,0.39,2.0,0.0,-0.7999999999999999,-0.37999999999999995,,,11.0,21.5,0.42500000000000004,0.575
54,59196,2020-10-04,18,3,milan,spezia,H,W,3,0,2,1,"[0, 0, 0, 1, 1]","[0, 0, 0, -1, 1]",4.0,11.0,-1.05,0.48,-0.27,1.3,17,4,0.61,0.39,2.0,0.0,-0.75,0.050000000000000044,-0.7000000000000001,-0.13999999999999996,16.5,9.0,0.5549999999999999,0.44499999999999995
55,59196,2020-10-04,18,3,spezia,milan,A,L,0,3,1,2,"[0, 0, 0, -1, 1]","[0, 0, 0, 1, 1]",11.0,4.0,-0.27,1.3,-1.05,0.48,4,17,0.39,0.61,1.5,2.0,-0.27,0.4,-1.8449999999999998,-0.825,8.0,15.0,0.43000000000000005,0.5700000000000001
56,59199,2020-10-17,15,4,napoli,atalanta,H,W,4,1,2,3,"[0, 0, 0, 1, 1]","[0, 0, 1, 1, 1]",5.0,1.0,2.67,3.01,3.08,5.0,19,13,0.49,0.51,4.0,0.0,0.61,-0.5,1.42,0.95,17.5,6.0,0.59,0.41000000000000003
57,59199,2020-10-17,15,4,atalanta,napoli,A,L,1,4,3,2,"[0, 0, 1, 1, 1]","[0, 0, 0, 1, 1]",1.0,5.0,3.08,5.0,2.67,3.01,13,19,0.51,0.49,4.333333333333333,1.6666666666666667,1.7750000000000001,1.94,-0.2166666666666667,-0.29000000000000004,16.333333333333332,11.0,0.5133333333333333,0.48666666666666664
58,59200,2020-10-17,18,4,inter,milan,H,L,1,2,2.5,3,"[0, 0, 1, 1, 0]","[0, 0, 1, 1, 1]",4.0,2.0,1.98,0.30000000000000004,0.91,-0.2599999999999999,18,11,0.55,0.45,3.3333333333333335,2.0,1.2349999999999999,0.9349999999999999,-0.11666666666666663,-0.6766666666666667,17.0,11.0,0.6433333333333334,0.3566666666666667
59,59200,2020-10-17,18,4,milan,inter,A,W,2,1,3,2.5,"[0, 0, 1, 1, 1]","[0, 0, 1, 1, 0]",2.0,4.0,0.91,-0.2599999999999999,1.98,0.30000000000000004,11,18,0.45,0.55,2.3333333333333335,0.0,-0.9,0.265,-0.48500000000000004,0.5800000000000001,16.666666666666668,7.333333333333333,0.5733333333333334,0.4266666666666667
