,match_id,date,day,hteam_name,ateam_name,hteam_score,ateam_score,winner,hteam_lineup,ateam_lineup,statistics,hteam_xGoals,hteam_xAssists,ateam_xGoals,ateam_xAssists,Shots_Total_home,Shots_Total_away,Shots_On_Goal_home,Shots_On_Goal_away,Shots_Off_Goal_home,Shots_Off_Goal_away,Shots_Blocked_home,Shots_Blocked_away,Shots_Inside_Box_home,Shots_Inside_Box_away,Shots_Outside_Box_home,Shots_Outside_Box_away,Fouls_home,Fouls_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Ball_Possession_home,Ball_Possession_away,Yellow_Cards_home,Yellow_Cards_away,Saves_home,Saves_away,Passes_Total_home,Passes_Total_away,Passes_Accurate_home,Passes_Accurate_away,Red_Cards_home,Red_Cards_away
0,59169,2020-09-19T18:00:00Z,1,fiorentina,torino,1,0,H,"['federico ceccherini', 'cristiano biraghi', 'martín cáceres', 'alfred duncan', 'bartłomiej drągowski', 'giacomo bonaventura', 'gaetano castrovilli', 'christian kouamé', 'nikola milenković', 'federico chiesa', 'franck ribéry']","['cristian ansaldi', 'soualiho meïté', 'armando izzo', 'karol linetty', 'andrea belotti', 'alex berenguer', ""nicolas n'koulou"", 'gleison bremer', 'tomás rincón', 'salvatore sirigu', 'simone zaza']","[{'type': 'Shots Total', 'home': '15', 'away': '6'}, {'type': 'Shots On Goal', 'home': '5', 'away': '3'}, {'type': 'Shots Off Goal', 'home': '5', 'away': '1'}, {'type': 'Shots Blocked', 'home': '5', 'away': '2'}, {'type': 'Shots Inside Box', 'home': '8', 'away': '2'}, {'type': 'Shots Outside Box', 'home': '7', 'away': '4'}, {'type': 'Fouls', 'home': '17', 'away': '20'}, {'type': 'Corners', 'home': '4', 'away': '1'}, {'type': 'Offsides', 'home': '6', 'away': '1'}, {'type': 'Ball Possession', 'home': '49%', 'away': '51%'}, {'type': 'Yellow Cards', 'home': '3', 'away': '1'}, {'type': 'Saves', 'home': '3', 'away': '5'}, {'type': 'Passes Total', 'home': '423', 'away': '445'}, {'type': 'Passes Accurate', 'home': '361', 'away': '369'}]",,,,,15,6,5,3,5,1,5,2,8,2,7,4,17,20,4,1,6,1,49%,51%,3,1,3,5,423,445,361,369,,
1,59170,2020-09-19T20:45:00Z,1,verona,roma,3,0,H,"['koray günter', 'adrien tameze', 'miguel veloso', 'samuel di carmine', 'federico dimarco', 'alan empereur', 'ľubomír tupta', 'mert çetin', 'andrea danzi', 'davide faraoni', 'marco silvestri']","['antonio mirante', 'leonardo spinazzola', 'jordan veretout', 'bryan cristante', 'rick karsdorp', 'lorenzo pellegrini', 'gianluca mancini', 'amadou diawara', 'henrikh mkhitaryan', 'roger ibañez', 'pedro']","[{'type': 'Shots Total', 'home': '8', 'away': '21'}, {'type': 'Shots On Goal', 'home': '3', 'away': '4'}, {'type': 'Shots Off Goal', 'home': '3', 'away': '10'}, {'type': 'Shots Blocked', 'home': '2', 'away': '7'}, {'type': 'Shots Inside Box', 'home': '6', 'away': '9'}, {'type': 'Shots Outside Box', 'home': '2', 'away': '12'}, {'type': 'Fouls', 'home': '19', 'away': '20'}, {'type': 'Corners', 'home': '0', 'away': '6'}, {'type': 'Offsides', 'home': '3', 'away': '2'}, {'type': 'Ball Possession', 'home': '39%', 'away': '61%'}, {'type': 'Yellow Cards', 'home': '2', 'away': '0'}, {'type': 'Saves', 'home': '4', 'away': '3'}, {'type': 'Passes Total', 'home': '351', 'away': '520'}, {'type': 'Passes Accurate', 'home': '237', 'away': '400'}]",,,,,8,21,3,4,3,10,2,7,6,9,2,12,19,20,0,6,3,2,39%,61%,2,0,4,3,351,520,237,400,,
2,59171,2020-09-20T12:30:00Z,1,parma,napoli,0,2,A,"['gastón brugman', 'matteo darmian', 'simone iacoponi', 'hernani', 'andreas cornelius', 'alberto grassi', 'juraj kucka', 'giuseppe pezzella', 'bruno alves', 'luigi sepe', 'roberto inglese']","['lorenzo insigne', 'kalidou koulibaly', 'diego demme', 'elseid hysaj', 'piotr zieliński', 'giovanni di lorenzo', 'david ospina', 'hirving lozano', 'fabián ruiz', 'dries mertens', 'konstantinos manolas']","[{'type': 'Shots Total', 'home': '6', 'away': '17'}, {'type': 'Shots On Goal', 'home': '2', 'away': '6'}, {'type': 'Shots Off Goal', 'home': '2', 'away': '6'}, {'type': 'Shots Blocked', 'home': '2', 'away': '5'}, {'type': 'Shots Inside Box', 'home': '1', 'away': '8'}, {'type': 'Shots Outside Box', 'home': '5', 'away': '9'}, {'type': 'Fouls', 'home': '16', 'away': '12'}, {'type': 'Corners', 'home': '4', 'away': '2'}, {'type': 'Offsides', 'home': '2', 'away': '1'}, {'type': 'Ball Possession', 'home': '39%', 'away': '61%'}, {'type': 'Yellow Cards', 'home': '4', 'away': '1'}, {'type': 'Saves', 'home': '4', 'away': '2'}, {'type': 'Passes Total', 'home': '404', 'away': '645'}, {'type': 'Passes Accurate', 'home': '344', 'away': '574'}]",,,,,6,17,2,6,2,6,2,5,1,8,5,9,16,12,4,2,2,1,39%,61%,4,1,4,2,404,645,344,574,,
3,59172,2020-09-20T15:00:00Z,1,genoa,crotone,4,1,H,"['mattia perin', 'miha zajc', 'lukas lerager', 'davide zappacosta', 'davide biraschi', 'edoardo goldaniga', 'paolo ghiglione', 'goran pandev', 'cristián zapata', 'milan badelj', 'mattia destro']","['lisandro magallán', 'vladimir golemić', 'alex cordaz', 'salvatore molina', 'simy', 'emmanuel rivière', 'niccolò zanellato', 'luca cigarini', 'junior messias', 'antonio mazzotta', 'luca marrone']","[{'type': 'Shots Total', 'home': '14', 'away': '13'}, {'type': 'Shots On Goal', 'home': '6', 'away': '3'}, {'type': 'Shots Off Goal', 'home': '3', 'away': '9'}, {'type': 'Shots Blocked', 'home': '5', 'away': '1'}, {'type': 'Shots Inside Box', 'home': '10', 'away': '6'}, {'type': 'Shots Outside Box', 'home': '4', 'away': '7'}, {'type': 'Fouls', 'home': '13', 'away': '14'}, {'type': 'Corners', 'home': '6', 'away': '4'}, {'type': 'Offsides', 'home': '7', 'away': '0'}, {'type': 'Ball Possession', 'home': '48%', 'away': '52%'}, {'type': 'Yellow Cards', 'home': '4', 'away': '2'}, {'type': 'Saves', 'home': '2', 'away': '2'}, {'type': 'Passes Total', 'home': '473', 'away': '502'}, {'type': 'Passes Accurate', 'home': '408', 'away': '430'}]",,,,,14,13,6,3,3,9,5,1,10,6,4,7,13,14,6,4,7,0,48%,52%,4,2,2,2,473,502,408,430,,
4,59173,2020-09-20T18:00:00Z,1,sassuolo,cagliari,1,1,D,"['filip đuričić', 'pedro obiang', 'jeremy toljan', 'andrea consigli', 'gian marco ferrari', 'domenico berardi', 'lukáš haraslín', 'manuel locatelli', 'rogério', 'francesco caputo', 'vlad chiricheş']","['joão pedro', 'alessio cragno', 'charalampos lykogiannis', 'ragnar klavan', 'paolo faragò', 'răzvan marin', 'giovanni simeone', 'marko rog', 'nahitan nández', 'fabrizio caligara', 'sebastian walukiewicz']","[{'type': 'Shots Total', 'home': '33', 'away': '8'}, {'type': 'Shots On Goal', 'home': '9', 'away': '4'}, {'type': 'Shots Off Goal', 'home': '13', 'away': '4'}, {'type': 'Shots Blocked', 'home': '11', 'away': '0'}, {'type': 'Shots Inside Box', 'home': '14', 'away': '5'}, {'type': 'Shots Outside Box', 'home': '19', 'away': '3'}, {'type': 'Fouls', 'home': '9', 'away': '18'}, {'type': 'Corners', 'home': '7', 'away': '3'}, {'type': 'Offsides', 'home': '2', 'away': '2'}, {'type': 'Ball Possession', 'home': '67%', 'away': '33%'}, {'type': 'Yellow Cards', 'home': '1', 'away': '3'}, {'type': 'Saves', 'home': '3', 'away': '8'}, {'type': 'Passes Total', 'home': '659', 'away': '313'}, {'type': 'Passes Accurate', 'home': '602', 'away': '257'}]",,,,,33,8,9,4,13,4,11,0,14,5,19,3,9,18,7,3,2,2,67%,33%,1,3,3,8,659,313,602,257,,
5,59174,2020-09-20T20:45:00Z,1,juventus,sampdoria,3,0,H,"['wojciech szczęsny', 'giorgio chiellini', 'adrien rabiot', 'cristiano ronaldo', 'leonardo bonucci', 'weston mckennie', 'dejan kulusevski', 'gianluca frabotta', 'juan cuadrado', 'aaron ramsey', 'danilo']","['bartosz bereszyński', 'lorenzo tonelli', 'albin ekdal', 'omar colley', 'tommaso augello', 'morten thorsby', 'federico bonazzoli', 'emil audero', 'jakub jankto', 'fabio depaoli', 'mehdi léris']","[{'type': 'Shots Total', 'home': '20', 'away': '15'}, {'type': 'Shots On Goal', 'home': '8', 'away': '1'}, {'type': 'Shots Off Goal', 'home': '6', 'away': '10'}, {'type': 'Shots Blocked', 'home': '6', 'away': '4'}, {'type': 'Shots Inside Box', 'home': '13', 'away': '8'}, {'type': 'Shots Outside Box', 'home': '7', 'away': '7'}, {'type': 'Fouls', 'home': '15', 'away': '9'}, {'type': 'Corners', 'home': '6', 'away': '4'}, {'type': 'Offsides', 'home': '3', 'away': '2'}, {'type': 'Ball Possession', 'home': '66%', 'away': '34%'}, {'type': 'Yellow Cards', 'home': '1', 'away': '1'}, {'type': 'Saves', 'home': '2', 'away': '5'}, {'type': 'Passes Total', 'home': '728', 'away': '355'}, {'type': 'Passes Accurate', 'home': '657', 'away': '274'}]",,,,,20,15,8,1,6,10,6,4,13,8,7,7,15,9,6,4,3,2,66%,34%,1,1,2,5,728,355,657,274,,
6,59175,2020-09-21T20:45:00Z,1,milan,bologna,2,0,H,"['simon kjær', 'hakan çalhanoğlu', 'zlatan ibrahimović', 'ante rebić', 'samu castillejo', 'davide calabria', 'franck kessié', 'ismaël bennacer', 'theo hernández', 'gianluigi donnarumma', 'matteo gabbia']","['rodrigo palacio', 'mitchell dijks', 'riccardo orsolini', 'lorenzo de silvestri', 'takehiro tomiyasu', 'jerdy schouten', 'nicolás domínguez', 'musa barrow', 'łukasz skorupski', 'roberto soriano', 'danilo']","[{'type': 'Shots Total', 'home': '17', 'away': '13'}, {'type': 'Shots On Goal', 'home': '5', 'away': '4'}, {'type': 'Shots Off Goal', 'home': '7', 'away': '1'}, {'type': 'Shots Blocked', 'home': '5', 'away': '8'}, {'type': 'Shots Inside Box', 'home': '11', 'away': '9'}, {'type': 'Shots Outside Box', 'home': '6', 'away': '4'}, {'type': 'Fouls', 'home': '13', 'away': '20'}, {'type': 'Corners', 'home': '7', 'away': '4'}, {'type': 'Offsides', 'home': '5', 'away': '1'}, {'type': 'Ball Possession', 'home': '58%', 'away': '42%'}, {'type': 'Yellow Cards', 'home': '3', 'away': '5'}, {'type': 'Red Cards', 'home': '0', 'away': '1'}, {'type': 'Saves', 'home': '4', 'away': '3'}, {'type': 'Passes Total', 'home': '507', 'away': '366'}, {'type': 'Passes Accurate', 'home': '438', 'away': '309'}]",,,,,17,13,5,4,7,1,5,8,11,9,6,4,13,20,7,4,5,1,58%,42%,3,5,4,3,507,366,438,309,0,1
7,59179,2020-09-26T15:00:00Z,2,torino,atalanta,2,4,A,"['soualiho meïté', 'nicola murru', 'karol linetty', 'andrea belotti', 'mergim vojvoda', 'alex berenguer', ""nicolas n'koulou"", 'gleison bremer', 'tomás rincón', 'salvatore sirigu', 'simone zaza']","['marten de roon', 'remo freuler', 'alejandro gómez', 'marco sportiello', 'hans hateboer', 'mattia caldara', 'robin gosens', 'duván zapata', 'boško šutalo', 'rafael tolói', 'luis muriel']","[{'type': 'Shots Total', 'home': '7', 'away': '18'}, {'type': 'Shots On Goal', 'home': '4', 'away': '7'}, {'type': 'Shots Off Goal', 'home': '1', 'away': '7'}, {'type': 'Shots Blocked', 'home': '2', 'away': '4'}, {'type': 'Shots Inside Box', 'home': '4', 'away': '12'}, {'type': 'Shots Outside Box', 'home': '3', 'away': '6'}, {'type': 'Fouls', 'home': '11', 'away': '12'}, {'type': 'Corners', 'home': '2', 'away': '6'}, {'type': 'Offsides', 'home': '2', 'away': '2'}, {'type': 'Ball Possession', 'home': '44%', 'away': '56%'}, {'type': 'Yellow Cards', 'home': '1', 'away': '2'}, {'type': 'Saves', 'home': '3', 'away': '2'}, {'type': 'Passes Total', 'home': '443', 'away': '537'}, {'type': 'Passes Accurate', 'home': '350', 'away': '456'}]",-0.57,-0.43,,,7,18,4,7,1,7,2,4,4,12,3,6,11,12,2,6,2,2,44%,56%,1,2,3,2,443,537,350,456,,
8,59180,2020-09-26T18:00:00Z,2,cagliari,lazio,0,2,A,"['joão pedro', 'alessio cragno', 'charalampos lykogiannis', 'ragnar klavan', 'paolo faragò', 'răzvan marin', 'giovanni simeone', 'marko rog', 'nahitan nández', 'sebastian walukiewicz', 'riccardo sottil']","['ştefan radu', 'francesco acerbi', 'luis alberto', 'patric', 'thomas strakosha', 'joaquín correa', 'manuel lazzari', 'adam marušić', 'sergej milinković-savić', 'ciro immobile', 'lucas leiva']","[{'type': 'Shots Total', 'home': '9', 'away': '16'}, {'type': 'Shots On Goal', 'home': '2', 'away': '6'}, {'type': 'Shots Off Goal', 'home': '6', 'away': '4'}, {'type': 'Shots Blocked', 'home': '1', 'away': '6'}, {'type': 'Shots Inside Box', 'home': '4', 'away': '10'}, {'type': 'Shots Outside Box', 'home': '5', 'away': '6'}, {'type': 'Fouls', 'home': '8', 'away': '13'}, {'type': 'Corners', 'home': '3', 'away': '6'}, {'type': 'Offsides', 'home': '2', 'away': '2'}, {'type': 'Ball Possession', 'home': '44%', 'away': '56%'}, {'type': 'Yellow Cards', 'home': '1', 'away': '1'}, {'type': 'Saves', 'home': '4', 'away': '2'}, {'type': 'Passes Total', 'home': '412', 'away': '514'}, {'type': 'Passes Accurate', 'home': '340', 'away': '435'}]",0.03999999999999998,0.14999999999999997,,,9,16,2,6,6,4,1,6,4,10,5,6,8,13,3,6,2,2,44%,56%,1,1,4,2,412,514,340,435,,
9,59181,2020-09-26T18:00:00Z,2,sampdoria,benevento,2,3,A,"['bartosz bereszyński', 'lorenzo tonelli', 'valerio verre', 'antonio candreva', 'albin ekdal', 'omar colley', 'tommaso augello', 'federico bonazzoli', 'emil audero', 'jakub jankto', 'fabio quagliarella']","['bryan dabo', 'gianluca caprari', 'gaetano letizia', 'lorenzo montipò', 'roberto insigne', 'gabriele moncini', 'artur ioniță', 'daam foulon', 'pasquale schiattarella', 'kamil glik', 'luca caldirola']","[{'type': 'Shots Total', 'home': '9', 'away': '14'}, {'type': 'Shots On Goal', 'home': '3', 'away': '5'}, {'type': 'Shots Off Goal', 'home': '4', 'away': '6'}, {'type': 'Shots Blocked', 'home': '2', 'away': '3'}, {'type': 'Shots Inside Box', 'home': '7', 'away': '8'}, {'type': 'Shots Outside Box', 'home': '2', 'away': '6'}, {'type': 'Fouls', 'home': '17', 'away': '12'}, {'type': 'Corners', 'home': '6', 'away': '4'}, {'type': 'Offsides', 'home': '4', 'away': '1'}, {'type': 'Ball Possession', 'home': '40%', 'away': '60%'}, {'type': 'Yellow Cards', 'home': '3', 'away': '1'}, {'type': 'Saves', 'home': '2', 'away': '1'}, {'type': 'Passes Total', 'home': '326', 'away': '493'}, {'type': 'Passes Accurate', 'home': '229', 'away': '403'}]",-0.43000000000000005,-0.32,,,9,14,3,5,4,6,2,3,7,8,2,6,17,12,6,4,4,1,40%,60%,3,1,2,1,326,493,229,403,,
