squadra,soprannome
Juventus,La vecchia signora
Juventus,Madama
Juventus,La goba
Juventus,I bianconeri
Juventus,Le zebre
Inter,La Beneamata
Inter,Il biscione
Inter,I nerazzurri
Milan,Il Diavolo
Milan,I rossoneri
Atalanta,La Dea
Napoli,Gli azzurri
Napoli,I partenopei
Roma,I giallorossi
Roma,La Lupa
Roma,La maggica
Lazio,Biancocelesti
Lazio,La Aquila
Bologna,Rossoblu
Bologna,I petroniani
Verona,Gialloblu
Verona,Gli scaligeri
Brescia,Le rondinelle
Fiorentina,La Viola
Torino,Il Toro
Torino,I granata
Casale,I nerostellati
Sampdoria,I blucerchiati
Genoa,Il Grifone 
Genoa,I rossoblu
Spezia,Gli aquilotti
Livorno,Gli amaranto
Padova,Biancoscudati
Udinese,Bianconeri
Udinese,Zebrette
Triestina,Alabardati
Venezia,I lagunari
Venezia,Gli arancioneroverdi
Parma,I nerocrociati
Modena,I canarini
Perugia,I grifoni
Ancona,I dorici
Ternana,Le fere
Ternana,I rossoverdi
Benevento,Gli stregoni
Avellino,I Lupi
Foggia,I satanelli
Bari,I galletti
Crotone,I pitagorici
Cosenza,I silani
Messina,I peloritani
Palermo,I rosanero
Catania,I rossazzurri
Cagliari,I rossoblu 
Cagliari,Casteddu
Cagliari,Gli isolani
